Mary,p,Mary,200.00,1000.00,2017-11-14,Car,2500.00,2017-11-14
Mary,p,Mary,100.00,1000.00,2017-12-31,Car,3000.00,2017-11-14
Mary,p,Mary,100.00,1000.00,2018-1-20,Car,2000.00,2017-11-14
Mary,p,Mary,90.00,1000.00,2018-2-1,Car,1500.00,2017-11-14
Mary,p,Mary,65.00,600.00,2018-1-20,Printer,2000.00,2017-11-14
Mary,c,Joycelyn,450.00,5000.00,2018-1-20,Camera,2000.00,2017-11-14
Mary,p,Mary,112.00,600.00,2017-12-31,Printer,3000.00,2017-11-14
Mary,c,Joycelyn,800.20,5000.00,2017-12-31,Camera,3000.00,2017-11-14
Mary,p,Mary,230.00,600.00,2017-11-14,Printer,2500.00,2017-11-14
Mary,c,Joycelyn,600.00,5000.00,2017-11-14,Camera,2500.00,2017-11-14
Mary,p,Mary,100.00,600.00,2018-2-1,Printer,1500.00,2017-11-14
Mary,c,Joycelyn,149.70,5000.00,2018-2-1,Camera,500.00,2017-11-14
Jeff,p,Jeff,5000.00,20000.00,2018-1-3,Car,4000.00,2017-12-23
Jeff,c,Lucas,320.00,700.00,2018-1-3,Phone,4000.00,2017-12-23
Jeff,c,Casey,20.00,100.00,2018-1-3,Clothes,4000.00,2017-12-23
Jeff,p,Jeff,3210.00,20000.00,2017-12-23,Car,0.00,2017-12-23
Jeff,c,Lucas,150.00,700.00,2017-12-23,Phone,0.00,2017-12-23
Jeff,c,Casey,25.00,100.00,2017-12-23,Clothes,0.00,2017-12-23
John,p,John,230.50,800.00,2018-1-16,Play Station,1500.00,2018-1-16
